question,ragScore,baseScore
"How does a company's earnings per share (EPS) change due to a stock buyback?
",5,3
"How does a stop-loss order work in the stock market?
",5,5
"What is a good ETF for investing in the entire continent of Europe?
",5,4
"What is the effect of stock volatility on a limit order?
",5,2
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",4,4
"How does choosing a market cap in a stock screener help in refining a stock search?

",3,5
"Why might company insiders sell their stock to diversify their holdings?
",5,5
"How does dollar cost averaging help investors?
",4,4
"Which type of ETF is generally considered a safer investing vehicle?
",3,4
"How does using margin in stock trading affect the return on investment?
",4,3
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5,5
"How does buying on margin using leverage maximize gains in a favorable market?
",4,4
"How to approach stock selection and what to avoid?
",3,4
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",4,5
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",5,5
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",5,5
"How can an investor measure the volatility of a stock's price?
",5,3
"What is required for an investor to be able to short a stock?
",3,5
"How much did FNMA's stock price drop between 2007 and 2008?
",4,5
"How do insiders report their stock trading activities?
",4,4
"How can a company increase its earnings per share without earning extra money?
",5,5
"How can a company protect itself from an unwanted takeover?
",3,3
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",5,4
"How does a higher P/E ratio in an ETF affect its risk level?
",5,5
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",4,4
"What is the URL for Franklin Templeton's emerging markets blog?
",4,4
"What are ADRs and how can they be used for international investing?
",4,4
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",5,2
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",3,3
"How is the profit margin calculated in the Yahoo! Finance tool?
",4,4
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",4,3
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",5,3
"How does a bank that issues an ADR handle currency conversion for American investors?
",5,3
"What is a conditional order in the context of stock trading?
",5,5
"How much money is needed to start investing in some DRPs?
",3,3
"What is a market order when buying stocks?
",4,5
"Why might someone use a day order to test a price?
",5,5
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",5,5
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",5,5
"How does a broker obtain the shares to be shorted in a short sale?
",4,5
