question,llmScore
"What is the name of the tool used to analyze ratios?
",5
"What is the basic equation to calculate net worth?
",5
"What is William O'Neill's preference for a trailing stop percentage?
",3
"What is the definition of a dividend?
",5
"What was the purpose of the uptick rule in the stock market?
",5
"What is a proxy statement in the context of shareholder voting?
",5
"How can investors find good stocks to buy during a bear market?
",3
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",2
"Who is required to disclose conflicts of interest on business channels?
",3
"Why might an investor not consider dividends?
",4
"What is included in the stock data section of a company's report?
",3
"What is the 52-week high price of SkyHighCorp?
",1
"What is the definition of ""collecting cash flows"" in the context of stock investment?
",4
"What is a minimum P/E ratio that can be used to find stocks vulnerable to a correction?
",3
"What is the title of the book that can help investors understand how to read financial reports without unnecessary technicality?
",3
"What is the significance of the head and shoulders pattern in technical analysis?
",5
"How do stocks perform compared to other financial investments over a 10-year period?
",5
"What is the total value of the person's long-term assets?
",4
"What is an example of an advanced order in stock trading?
",4
"What is the definition of financial risk in stock investing?
",4
"What is the New York Stock Exchange commonly referred to as?
",3
"What is the definition of the head and shoulders pattern in stock trading?
",5
"What are consumer staples ETFs?
",5
"What is the tax rate for long-term capital gains if an individual's ordinary income tax rate is 15%?
",3
"What happens when an investor engages in short-term speculating with a child's college fund money?
",2
"What is the website for Investing for Beginners?
",1
"What is one type of stock that can provide cash flow?
",5
"What ETF is commonly used for exposure to the Canadian stock market?
",3
"What are long-term financial goals?
",3
"Has Tesla or Uber achieved reliable profitability in their income statements as of early 2020?
",3
"What is the order of impact from politics to stock investment?
",3
"Why might investors bid up the price of a stock with a high P/E ratio?
",3
"What type of stocks are suitable for a conservative investor with a long-term financial goal?
",3
"What is a less risky way to use margin in stock trading?
",3
"What type of stock includes voting rights?
",5
"Who introduced candlestick charts and when?
",2
"What is the main difference between how mutual funds and ETFs manage their securities?
",4
"What is yield in the context of stock tables?
",5
"What is the strategy of reducing risk by spreading money across different investments called?
",5
"What type of investment is suitable for someone who wants their money to grow?
",3
"What are dividends paid out from in companies?
",5
"What is the result of government action against a company like GCU on investor's stock investments?
",3
"What is the definition of profit in a business context?
",5
"What is a conditional order in the context of stock trading?
",5
"When did the Dow Jones breach the 29,000 level for the first time?
",2
"What type of stocks are generally considered defensive?
",3
"How long does it take for deposited cash to be available for investing in a cash account?
",3
"What is a practice called where you invest an imaginary sum of money to learn about stock investing?
",3
"What type of ETFs primarily invest in the bonds of a particular country or region?
",3
"How is the current ratio calculated?
",5
"What is the website address to find out more about motif investing?
",5
"How much capital loss can be reported in a single year for tax deduction?
",5
"What types of fees related to investment management can be deducted?
",1
"What is a subcategory of technical analysis that uses charts?
",3
"What is the Gross Domestic Product (GDP) in the context of the economy?
",5
"How is the debt-to-net-equity ratio calculated?
",3
"What happened to marijuana stocks during 2018-2019?
",2
"What is the investing philosophy with the longest history of success?
",5
"When are stock gains considered taxable?
",3
"What entity has the greatest impact on investing and economics according to the context?
",4
"What is the greatest risk for new investors in stock market?
",3
"Who are cheaper to engage, discount brokers or full-service brokers?
",3
"What is the highest price SkyHigh-Corp's stock has reached in the past 52 weeks?
",1
"What happened to the stock price of DrKoop.com from 1999 to 2000?
",3
"What type of resources does Nasdaq offer for learning about stock investing?
",4
"What happened when more and more people borrowed against their homes during the economic boom?
",3
"What is diversification in the context of investing?
",5
"What is a source for doing homework on a country's geopolitical risks?
",5
"What type of industries should investors consider for stable demand?
",3
"What is the main difference between full-service brokers and discount brokers?
",4
"What is the primary role of a broker in stock trading?
",5
"What is one type of stock that can provide cash flow?
",5
"What is inflation risk in stock investing?
",5
"What is an ETF in stock investing?
",5
"What type of risk can tobacco companies be exposed to?
",4
"What is an important factor to consider when reading business news for investment purposes?
",3
"How can ETFs be bought and sold that is different from MFs?
",4
"What is the technical definition of volatility in the context of stock investing?
",4
"What kind of risky investment did millions of investors chase in 1998-2000?
",2
"Are exchange-traded funds (ETFs) typically optionable?
",5
"What are the three main emotions that can affect stock investing?
",3
"How can financial risk be reduced in stock investing?
",5
"What are stock symbols used for in stock investing?
",5
"What percentage of investment money should a conservative investor ideally keep in a single stock?
",2
"What is a convenient way to invest internationally?
",3
"What report must all publicly traded companies file with the SEC providing valuable information on the company's operations and financial data for the most recent year?
",4
"What impact can losing money in stocks have on some investors?
",3
"What happens when inexperienced investors see their stocks go down temporarily?
",3
"How is a stock's volatility determined?
",3
"What date is used to determine which stockholders qualify to receive a declared dividend?
",5
"What date determines if an investor qualifies for a quarterly dividend?
",5
"How do institutional stockbrokers earn money?
",3
"How can a comparative financial analysis of a company's net profit provide context for its performance?
",5
"What is the current trading price of DBC?
",1
"How does a company's net worth affect its solvency?
",4
"What is an ETF that tracks the composition of the S&P 500?
",5
"What is an exchange-traded fund (ETF)?
",4
"What type of ETFs are designed to go the opposite way of the underlying securities?
",3
"What is the most widely watched stock index?
",3
"What is yield in the context of stock tables?
",5
"What should investors keep to a minimum to become successful?
",1
"How do ETFs and MFs invest the pooled money from investors?
",5
"How much does the market value of Bob's 6-percent bonds need to drop if interest rates rise to 8 percent?
",4
"What event caused a major correction in the Dow Jones industrials in February 2020?
",5
"What is one primary benefit of using discount brokers over full-service brokers?
",3
"What is the 52-week high price of SkyHighCorp?
",1
"How do taxes affect the wealth-building program in stock investing?
",4
"What investment strategy can be used to decrease risk exposure when a portfolio is overly reliant on or exposed to events in specific sectors?
",5
"What is a practice called where you invest an imaginary sum of money to learn about stock investing?
",3
"What are two excellent publications for stock investors?
",2
"How much cash is needed to buy $10,000 worth of stock on margin?
",2
"What is the index that tracks 500 leading publicly traded companies and considered to be widely held?
",5
"What are three common types of brokerage accounts?
",5
"What negative outcome can occur when investors develop feelings of love for a particular stock?
",4
"How is the term ""volume"" used in the context of individual stocks?
",4
"How many dollars' worth of derivatives do some U.S. financial institutions hold?
",3
"How are brokers and account reps typically compensated in a brokerage firm?
",3
"When is the ex-dividend period for a stock purchase?
",5
"What is a significant increase in trading volume for a less active, smaller stock?
",3
"Do discount brokers charge fees for maintaining IRAs?
",3
"What are some ways to gather information for stock investing?
",4
"What investment option is suitable when someone expects the market to crash?
",3
"How can I find laws being proposed or enacted by the federal government?
",4
"What is the main difference between how mutual funds and ETFs manage their securities?
",3
"When does the trade get finalized after the date of execution in the stock market?
",3
"What is the role of bearish ETFs in a stock investor's portfolio?
",3
"What is the main engine of economic activity that is important for stock investing analysis?
",4
"What is a recommended amount of gross living expenses to set aside in a bank account or treasury money market fund?
",3
"What is one benefit of being aware of trends covered by media like Time magazine and CNN?
",4
"What is the role of a full-service broker?
",4
"What is the Gross Domestic Product (GDP) in the context of the economy?
",5
"What two basic disciplines are important to understand a company's finances?
",3
"How do discount brokers differ from full-service brokers in terms of cost?
",3
"How long does it take for deposited cash to be available for investing in a cash account?
",2
"Which type of stocks, with or without dividends, are generally better at weathering bad economic times?
",3
"Who is required to disclose conflicts of interest on business channels?
",5
"How do rising interest rates affect a company's customers?
",4
"What is a margin account called in the context of brokerage accounts?
",3
"What percentage of their money should retirees ideally have in stocks?
",2
"Why is it not advisable to base investment decisions on just one source?
",3
"What is a commonly used benchmark to measure a company's stock growth against the stock market?
",4
"How did some companies in the late 1990s boost their sales?
",5
"How much is the total assets of the company as shown in the balance sheet?
",4
"What is a general yardstick for comparing a company's sales growth?
",3
"What is an important factor to consider when determining the value of a company, besides its net worth?
",4
"What is the primary reason people invest in stocks?
",5
"Who tends to do better between those who use technical analysis in short-term trading and those who don't?
",2
"What are some types of investments that can provide income and cash flow?
",3
"What is the market value of a company determined by?
",5
"How much is an individual shareholder typically paid every year if they own 200 shares and the quarterly dividend remains constant?
",4
"What is the source of income for a REIT?
",5
"What type of financial information can help uncover value stocks?
",3
"What does the top line of a channel indicate in stock trading?
",4
"What is the payout ratio used to determine in investing?
",5
"What is the yield of Wilson Bank Savings account with a $1,000 deposit?
",3
"What happened to real estate investing between 2000-2007?
",3
"How is return on equity calculated?
",5
"What is a gap in a stock chart and how is it formed?
",4
"How is the opening price indicated in a bar chart?
",3
"Why are REITs exempt from corporate income tax and capital gains taxes?
",5
"What is an uptrend or bullish trend in technical analysis?
",5
